t_sec,hz_image_raw,hz_cMo,hz_v_c
0.105792,0.000000,0.000000,0.000000
0.205789,2.000000,0.000000,0.000000
0.305781,5.000000,1.000000,0.000000
0.405826,8.000000,2.000000,0.000000
0.505778,11.000000,4.000000,0.000000
0.605794,14.000000,6.000000,0.000000
0.705822,17.000000,7.000000,0.000000
0.805790,20.000000,9.000000,0.000000
0.905773,23.000000,11.000000,0.000000
1.005784,26.000000,12.000000,0.000000
1.105810,29.000000,14.000000,0.000000
1.205819,30.000000,15.000000,0.000000
1.305792,30.000000,16.000000,0.000000
1.405798,30.000000,16.000000,0.000000
1.505808,30.000000,16.000000,0.000000
1.605808,30.000000,15.000000,0.000000
1.705800,30.000000,16.000000,0.000000
1.805782,30.000000,16.000000,0.000000
1.905802,30.000000,15.000000,0.000000
2.005802,30.000000,16.000000,0.000000
2.105802,30.000000,16.000000,0.000000
2.205788,30.000000,16.000000,0.000000
2.305804,30.000000,16.000000,0.000000
2.405831,30.000000,16.000000,0.000000
2.505795,30.000000,16.000000,0.000000
2.605801,30.000000,17.000000,0.000000
2.705797,30.000000,16.000000,0.000000
2.805763,30.000000,16.000000,3.000000
2.905761,30.000000,16.000000,6.000000
3.005807,30.000000,16.000000,9.000000
3.105839,30.000000,16.000000,12.000000
3.205786,30.000000,16.000000,15.000000
3.305773,30.000000,16.000000,18.000000
3.405775,30.000000,17.000000,21.000000
3.505811,30.000000,17.000000,24.000000
3.605780,30.000000,16.000000,27.000000
3.705792,30.000000,17.000000,30.000000
3.805804,30.000000,17.000000,30.000000
3.905774,30.000000,17.000000,30.000000
4.005795,30.000000,17.000000,30.000000
4.105825,30.000000,17.000000,30.000000
4.205782,30.000000,18.000000,30.000000
4.305818,30.000000,17.000000,30.000000
4.405803,30.000000,17.000000,30.000000
4.505828,30.000000,17.000000,30.000000
4.605805,30.000000,18.000000,30.000000
4.705761,30.000000,17.000000,30.000000
4.805819,30.000000,17.000000,30.000000
4.905782,30.000000,17.000000,30.000000
5.005786,30.000000,17.000000,30.000000
5.105765,30.000000,17.000000,31.000000
5.205754,30.000000,17.000000,31.000000
5.305768,30.000000,18.000000,31.000000
5.405754,30.000000,18.000000,31.000000
5.505761,30.000000,18.000000,31.000000
5.605756,30.000000,18.000000,31.000000
5.705759,30.000000,19.000000,31.000000
5.805772,30.000000,19.000000,31.000000
5.905792,30.000000,20.000000,31.000000
6.005760,30.000000,19.000000,31.000000
6.105826,30.000000,19.000000,30.000000
6.205795,30.000000,19.000000,30.000000
6.305791,30.000000,18.000000,30.000000
6.405764,30.000000,18.000000,30.000000
6.505795,30.000000,18.000000,30.000000
6.605789,30.000000,17.000000,30.000000
6.705824,30.000000,17.000000,30.000000
6.805777,30.000000,16.000000,30.000000
6.905785,30.000000,16.000000,30.000000
7.005811,30.000000,17.000000,30.000000
7.105806,30.000000,16.000000,30.000000
7.205791,30.000000,16.000000,30.000000
7.305803,30.000000,16.000000,30.000000
7.405788,30.000000,16.000000,30.000000
7.505782,29.000000,15.000000,30.000000
7.605799,29.000000,16.000000,30.000000
7.705793,29.000000,15.000000,30.000000
7.805755,29.000000,16.000000,30.000000
7.905787,29.000000,15.000000,30.000000
8.005812,29.000000,15.000000,30.000000
8.105788,29.000000,15.000000,30.000000
8.205800,29.000000,15.000000,30.000000
8.305785,29.000000,15.000000,30.000000
8.405757,29.000000,15.000000,31.000000
8.505798,30.000000,15.000000,31.000000
8.605779,30.000000,15.000000,31.000000
8.705762,30.000000,16.000000,31.000000
8.805809,30.000000,16.000000,31.000000
8.905758,30.000000,16.000000,31.000000
9.005765,30.000000,16.000000,31.000000
9.105762,30.000000,17.000000,31.000000
9.205811,30.000000,16.000000,31.000000
9.305770,30.000000,17.000000,31.000000
9.405769,30.000000,17.000000,30.000000
9.505764,30.000000,17.000000,30.000000
9.605791,30.000000,17.000000,30.000000
9.705820,29.000000,17.000000,30.000000
9.805788,29.000000,17.000000,30.000000
9.905798,29.000000,17.000000,30.000000
10.005787,29.000000,17.000000,30.000000
10.105793,29.000000,17.000000,30.000000
10.205835,29.000000,17.000000,30.000000
10.305803,29.000000,17.000000,30.000000
10.405793,28.000000,17.000000,30.000000
10.505820,28.000000,17.000000,30.000000
10.605822,28.000000,17.000000,30.000000
10.705787,29.000000,17.000000,30.000000
10.805800,29.000000,16.000000,30.000000
10.905791,29.000000,17.000000,30.000000
11.005792,29.000000,16.000000,30.000000
11.105779,29.000000,16.000000,30.000000
11.205806,29.000000,16.000000,30.000000
11.305806,29.000000,16.000000,30.000000
11.405802,30.000000,15.000000,30.000000
11.505824,30.000000,16.000000,30.000000
11.605831,30.000000,16.000000,30.000000
11.705755,30.000000,15.000000,31.000000
11.805761,30.000000,16.000000,31.000000
11.905756,30.000000,16.000000,31.000000
12.005750,29.000000,16.000000,31.000000
12.105761,29.000000,16.000000,31.000000
12.205765,29.000000,17.000000,31.000000
12.305776,29.000000,16.000000,31.000000
12.405758,29.000000,17.000000,31.000000
12.505803,29.000000,17.000000,31.000000
12.605788,29.000000,16.000000,31.000000
12.705764,29.000000,17.000000,30.000000
12.805789,29.000000,16.000000,30.000000
12.905769,29.000000,16.000000,30.000000
13.005781,30.000000,17.000000,30.000000
