t_sec,hz_image_raw,hz_cMo,hz_v_c
0.102697,0.000000,0.000000,0.000000
0.202691,2.000000,0.000000,0.000000
0.302712,5.000000,1.000000,1.000000
0.402696,7.000000,4.000000,4.000000
0.502703,10.000000,6.000000,7.000000
0.602692,13.000000,8.000000,10.000000
0.702675,16.000000,11.000000,13.000000
0.802698,19.000000,13.000000,16.000000
0.902687,22.000000,15.000000,19.000000
1.002705,25.000000,17.000000,22.000000
1.102701,28.000000,20.000000,25.000000
1.202779,28.000000,22.000000,28.000000
1.302666,28.000000,23.000000,31.000000
1.402660,27.000000,22.000000,31.000000
1.502663,26.000000,22.000000,31.000000
1.602686,24.000000,22.000000,31.000000
1.702675,24.000000,22.000000,31.000000
1.802672,22.000000,22.000000,31.000000
1.902688,21.000000,22.000000,31.000000
2.002675,19.000000,23.000000,31.000000
2.102694,18.000000,22.000000,31.000000
2.202665,18.000000,22.000000,31.000000
2.302670,18.000000,23.000000,30.000000
2.402684,20.000000,23.000000,30.000000
2.502691,20.000000,23.000000,30.000000
2.602689,21.000000,23.000000,30.000000
2.702699,21.000000,23.000000,30.000000
2.802697,21.000000,23.000000,30.000000
2.902697,21.000000,23.000000,30.000000
3.002693,23.000000,22.000000,30.000000
3.102700,24.000000,23.000000,30.000000
3.202717,25.000000,23.000000,30.000000
3.302716,25.000000,22.000000,30.000000
3.402702,23.000000,22.000000,30.000000
3.502704,24.000000,23.000000,30.000000
3.602691,25.000000,23.000000,30.000000
3.702704,24.000000,22.000000,30.000000
3.802715,26.000000,22.000000,30.000000
3.902693,26.000000,22.000000,30.000000
4.002683,25.000000,23.000000,30.000000
4.102712,24.000000,22.000000,30.000000
4.202691,22.000000,22.000000,30.000000
4.302672,21.000000,23.000000,30.000000
4.402694,21.000000,23.000000,30.000000
4.502751,20.000000,22.000000,30.000000
4.602660,19.000000,22.000000,31.000000
4.702668,20.000000,23.000000,31.000000
4.802664,18.000000,23.000000,31.000000
4.902661,18.000000,23.000000,31.000000
5.002682,19.000000,22.000000,31.000000
5.102675,20.000000,23.000000,31.000000
5.202687,22.000000,23.000000,31.000000
5.302686,22.000000,22.000000,31.000000
5.402700,24.000000,22.000000,31.000000
5.502703,24.000000,22.000000,31.000000
5.602678,25.000000,23.000000,30.000000
5.702701,24.000000,22.000000,30.000000
5.802694,26.000000,22.000000,30.000000
5.902679,26.000000,23.000000,30.000000
6.002685,25.000000,23.000000,30.000000
6.102706,23.000000,22.000000,30.000000
6.202692,21.000000,22.000000,30.000000
6.302710,21.000000,23.000000,30.000000
6.402717,20.000000,23.000000,30.000000
6.502699,20.000000,23.000000,30.000000
6.602701,20.000000,22.000000,30.000000
6.702689,20.000000,23.000000,30.000000
6.802691,20.000000,23.000000,30.000000
6.902774,21.000000,22.000000,30.000000
7.002704,22.000000,22.000000,30.000000
7.102689,24.000000,23.000000,30.000000
7.202704,25.000000,23.000000,30.000000
7.302716,26.000000,22.000000,30.000000
7.402722,27.000000,22.000000,30.000000
7.502676,28.000000,23.000000,30.000000
7.602695,28.000000,23.000000,30.000000
7.702719,29.000000,22.000000,30.000000
7.802723,29.000000,22.000000,30.000000
7.902671,29.000000,23.000000,31.000000
8.002660,27.000000,23.000000,31.000000
8.102667,27.000000,22.000000,31.000000
8.202666,28.000000,22.000000,31.000000
8.302676,28.000000,22.000000,31.000000
8.402668,28.000000,22.000000,31.000000
8.502682,27.000000,22.000000,31.000000
8.602665,26.000000,22.000000,31.000000
8.702729,26.000000,22.000000,31.000000
8.802627,26.000000,22.000000,31.000000
8.902704,23.000000,21.000000,30.000000
9.002677,24.000000,22.000000,30.000000
9.102683,23.000000,22.000000,30.000000
9.202689,23.000000,22.000000,30.000000
9.302672,23.000000,22.000000,30.000000
9.402677,23.000000,23.000000,30.000000
9.502683,22.000000,22.000000,30.000000
9.602688,23.000000,22.000000,30.000000
9.702690,23.000000,22.000000,30.000000
9.802696,21.000000,22.000000,30.000000
9.902676,24.000000,23.000000,30.000000
10.002685,25.000000,22.000000,30.000000
10.102716,26.000000,22.000000,30.000000
10.202714,25.000000,22.000000,30.000000
10.302698,25.000000,22.000000,30.000000
10.402713,25.000000,21.000000,30.000000
10.502717,27.000000,21.000000,30.000000
10.602682,26.000000,22.000000,30.000000
10.702716,26.000000,22.000000,30.000000
10.802700,28.000000,22.000000,30.000000
10.902700,28.000000,21.000000,30.000000
11.002713,27.000000,21.000000,30.000000
11.102668,27.000000,22.000000,30.000000
11.202658,28.000000,22.000000,31.000000
11.302661,28.000000,22.000000,31.000000
11.402664,28.000000,22.000000,31.000000
11.502673,27.000000,22.000000,31.000000
11.602667,28.000000,22.000000,31.000000
11.702669,28.000000,22.000000,31.000000
11.802698,28.000000,22.000000,31.000000
11.902676,28.000000,23.000000,31.000000
12.002686,28.000000,23.000000,31.000000
12.102684,28.000000,22.000000,31.000000
12.202712,28.000000,22.000000,30.000000
12.302695,28.000000,22.000000,30.000000
12.402695,27.000000,23.000000,30.000000
12.502688,28.000000,23.000000,30.000000
12.602756,27.000000,22.000000,30.000000
12.702685,27.000000,22.000000,30.000000
12.802678,27.000000,23.000000,30.000000
12.902686,26.000000,22.000000,30.000000
13.002688,27.000000,22.000000,30.000000
13.102692,27.000000,22.000000,30.000000
13.202703,27.000000,22.000000,30.000000
13.302696,27.000000,22.000000,30.000000
13.402689,26.000000,22.000000,30.000000
13.502693,26.000000,22.000000,30.000000
13.602693,27.000000,22.000000,30.000000
13.702703,27.000000,22.000000,30.000000
13.802693,26.000000,21.000000,30.000000
13.902713,27.000000,21.000000,30.000000
14.002670,26.000000,21.000000,30.000000
14.102683,25.000000,22.000000,30.000000
14.202692,25.000000,22.000000,30.000000
14.302669,25.000000,22.000000,30.000000
14.402698,27.000000,21.000000,30.000000
14.502659,27.000000,21.000000,31.000000
14.602659,27.000000,21.000000,31.000000
14.702626,25.000000,21.000000,31.000000
14.802686,26.000000,22.000000,31.000000
14.902911,25.000000,22.000000,31.000000
15.002676,26.000000,22.000000,31.000000
15.102936,25.000000,21.000000,31.000000
15.202976,23.000000,21.000000,31.000000
15.302678,23.000000,21.000000,31.000000
15.402697,23.000000,21.000000,31.000000
15.502703,22.000000,21.000000,30.000000
15.602670,21.000000,22.000000,30.000000
15.702698,22.000000,22.000000,30.000000
15.802682,22.000000,21.000000,30.000000
15.902707,23.000000,21.000000,30.000000
16.002686,23.000000,21.000000,30.000000
16.102688,25.000000,21.000000,30.000000
16.202700,27.000000,21.000000,30.000000
16.302695,27.000000,21.000000,30.000000
16.402713,26.000000,21.000000,30.000000
16.502697,27.000000,21.000000,30.000000
16.602728,27.000000,20.000000,30.000000
16.702689,28.000000,20.000000,30.000000
16.802735,27.000000,20.000000,30.000000
16.902702,27.000000,20.000000,30.000000
17.002688,27.000000,20.000000,30.000000
17.102690,27.000000,20.000000,30.000000
17.202680,26.000000,21.000000,30.000000
17.302698,26.000000,21.000000,30.000000
17.402693,25.000000,21.000000,30.000000
17.502703,24.000000,21.000000,30.000000
17.602686,24.000000,21.000000,30.000000
17.702682,24.000000,21.000000,30.000000
17.802658,24.000000,21.000000,31.000000
17.902663,22.000000,21.000000,31.000000
18.002664,22.000000,21.000000,31.000000
18.102668,22.000000,22.000000,31.000000
18.202681,22.000000,21.000000,31.000000
18.302693,22.000000,21.000000,31.000000
18.402686,22.000000,21.000000,31.000000
18.502706,21.000000,21.000000,31.000000
18.602676,21.000000,21.000000,31.000000
18.702700,19.000000,21.000000,31.000000
18.802688,20.000000,21.000000,30.000000
18.902706,22.000000,21.000000,30.000000
19.002661,20.000000,21.000000,30.000000
19.102696,20.000000,20.000000,30.000000
19.202682,20.000000,20.000000,30.000000
19.302713,20.000000,20.000000,30.000000
19.402673,21.000000,20.000000,30.000000
19.502679,21.000000,21.000000,30.000000
19.602694,21.000000,21.000000,30.000000
19.702684,23.000000,21.000000,30.000000
19.802675,22.000000,21.000000,30.000000
19.902678,22.000000,21.000000,30.000000
20.002684,23.000000,21.000000,30.000000
20.102713,23.000000,21.000000,30.000000
20.202678,22.000000,21.000000,30.000000
20.302698,20.000000,21.000000,30.000000
20.402717,21.000000,21.000000,30.000000
20.502705,23.000000,20.000000,30.000000
20.602738,24.000000,21.000000,30.000000
20.702685,24.000000,21.000000,30.000000
20.802695,25.000000,21.000000,30.000000
20.902692,25.000000,21.000000,30.000000
21.002676,25.000000,21.000000,30.000000
21.102639,25.000000,21.000000,31.000000
21.202661,26.000000,21.000000,31.000000
21.302659,28.000000,21.000000,31.000000
21.402660,27.000000,21.000000,31.000000
21.502665,27.000000,21.000000,31.000000
21.602664,27.000000,20.000000,31.000000
21.702669,25.000000,20.000000,31.000000
21.802694,24.000000,20.000000,31.000000
21.902687,22.000000,20.000000,31.000000
22.002674,21.000000,20.000000,31.000000
22.102702,18.000000,20.000000,30.000000
22.202675,19.000000,20.000000,30.000000
22.302902,18.000000,21.000000,30.000000
22.402683,19.000000,21.000000,30.000000
22.502666,17.000000,21.000000,30.000000
22.602670,16.000000,21.000000,30.000000
22.702711,15.000000,21.000000,30.000000
22.802672,15.000000,21.000000,30.000000
22.902691,16.000000,21.000000,30.000000
23.002705,17.000000,21.000000,30.000000
23.102693,20.000000,21.000000,30.000000
23.202718,20.000000,21.000000,30.000000
23.302699,20.000000,20.000000,30.000000
23.402679,19.000000,20.000000,30.000000
23.502695,21.000000,20.000000,30.000000
23.602672,22.000000,20.000000,30.000000
23.702720,25.000000,21.000000,30.000000
23.802689,26.000000,21.000000,30.000000
23.902663,26.000000,21.000000,30.000000
24.002696,26.000000,20.000000,30.000000
24.102699,25.000000,21.000000,30.000000
24.202664,25.000000,21.000000,30.000000
24.302686,25.000000,21.000000,30.000000
24.402659,25.000000,21.000000,31.000000
24.502660,25.000000,21.000000,31.000000
24.602677,25.000000,21.000000,31.000000
24.702669,24.000000,20.000000,31.000000
24.802695,23.000000,20.000000,31.000000
24.902668,24.000000,20.000000,31.000000
25.002670,25.000000,21.000000,31.000000
25.102681,26.000000,20.000000,31.000000
25.202674,26.000000,20.000000,31.000000
25.302668,27.000000,20.000000,31.000000
25.402698,28.000000,20.000000,30.000000
25.502675,28.000000,20.000000,30.000000
25.602669,27.000000,20.000000,30.000000
25.702669,28.000000,20.000000,30.000000
25.802673,29.000000,20.000000,30.000000
25.902669,28.000000,20.000000,30.000000
26.002685,28.000000,20.000000,30.000000
26.102697,27.000000,20.000000,30.000000
26.202718,27.000000,20.000000,30.000000
26.302677,27.000000,20.000000,30.000000
26.402693,27.000000,20.000000,30.000000
26.502669,27.000000,20.000000,30.000000
26.602688,28.000000,20.000000,30.000000
26.702684,25.000000,20.000000,30.000000
26.802674,24.000000,20.000000,30.000000
26.902683,24.000000,21.000000,30.000000
27.002664,24.000000,21.000000,30.000000
27.102766,24.000000,21.000000,30.000000
27.203231,23.000000,21.000000,30.000000
27.302668,23.000000,21.000000,30.000000
27.402666,22.000000,21.000000,30.000000
27.502804,22.000000,21.000000,30.000000
27.602828,22.000000,21.000000,30.000000
27.702660,25.000000,21.000000,31.000000
27.802668,25.000000,21.000000,31.000000
27.902671,25.000000,20.000000,31.000000
28.002949,25.000000,20.000000,31.000000
28.103418,26.000000,20.000000,31.000000
28.202667,28.000000,20.000000,31.000000
28.303328,27.000000,20.000000,31.000000
28.402669,28.000000,20.000000,31.000000
28.503332,28.000000,20.000000,31.000000
28.602768,28.000000,20.000000,31.000000
28.702691,25.000000,20.000000,30.000000
28.804726,25.000000,21.000000,30.000000
28.902693,24.000000,21.000000,30.000000
29.002688,25.000000,21.000000,30.000000
29.103353,24.000000,21.000000,30.000000
29.202691,22.000000,21.000000,30.000000
29.303615,22.000000,21.000000,30.000000
29.402662,21.000000,21.000000,30.000000
29.504084,19.000000,21.000000,30.000000
29.603360,18.000000,21.000000,30.000000
29.704209,21.000000,20.000000,30.000000
29.802721,21.000000,20.000000,30.000000
29.905066,22.000000,20.000000,30.000000
30.004328,22.000000,20.000000,30.000000
30.103386,22.000000,20.000000,30.000000
30.203776,24.000000,20.000000,30.000000
30.304611,24.000000,20.000000,30.000000
30.402690,24.000000,21.000000,30.000000
30.504051,25.000000,21.000000,30.000000
30.603087,26.000000,21.000000,30.000000
30.703854,26.000000,21.000000,30.000000
30.802697,25.000000,21.000000,30.000000
30.902730,25.000000,21.000000,30.000000
31.002664,24.000000,21.000000,31.000000
31.102808,23.000000,21.000000,31.000000
31.202686,23.000000,20.000000,31.000000
31.302620,22.000000,20.000000,31.000000
31.404341,23.000000,19.000000,31.000000
31.502682,24.000000,19.000000,31.000000
31.602738,25.000000,19.000000,31.000000
31.702836,25.000000,19.000000,31.000000
31.802738,26.000000,19.000000,31.000000
31.902731,27.000000,19.000000,31.000000
32.002742,27.000000,19.000000,30.000000
32.102748,28.000000,19.000000,30.000000
32.202697,27.000000,20.000000,30.000000
32.302688,28.000000,20.000000,30.000000
32.403017,28.000000,20.000000,30.000000
32.502690,27.000000,20.000000,30.000000
32.602690,26.000000,20.000000,30.000000
32.702730,26.000000,20.000000,30.000000
32.802829,26.000000,20.000000,30.000000
32.902754,26.000000,20.000000,30.000000
33.002823,27.000000,20.000000,30.000000
33.102719,26.000000,20.000000,30.000000
33.202723,27.000000,20.000000,30.000000
33.302759,27.000000,20.000000,30.000000
33.402717,27.000000,20.000000,30.000000
33.502716,28.000000,20.000000,30.000000
33.602699,29.000000,21.000000,30.000000
33.702667,29.000000,21.000000,30.000000
33.802704,28.000000,21.000000,30.000000
33.902719,27.000000,21.000000,30.000000
34.002713,27.000000,21.000000,30.000000
34.102703,27.000000,21.000000,30.000000
34.202715,27.000000,21.000000,30.000000
34.302667,27.000000,21.000000,31.000000
34.402660,27.000000,21.000000,31.000000
34.502665,27.000000,21.000000,31.000000
34.602698,27.000000,20.000000,31.000000
34.702700,27.000000,20.000000,31.000000
34.802692,28.000000,20.000000,31.000000
34.902672,28.000000,20.000000,31.000000
35.002723,27.000000,20.000000,31.000000
35.102722,27.000000,20.000000,31.000000
35.202694,26.000000,20.000000,31.000000
35.302669,26.000000,20.000000,30.000000
35.402703,25.000000,20.000000,30.000000
35.502741,25.000000,20.000000,30.000000
35.602703,24.000000,20.000000,30.000000
35.702716,23.000000,21.000000,30.000000
35.802698,21.000000,21.000000,30.000000
35.902657,22.000000,21.000000,30.000000
36.002690,22.000000,21.000000,30.000000
36.102723,22.000000,21.000000,30.000000
36.202693,23.000000,21.000000,30.000000
36.302702,23.000000,21.000000,30.000000
36.402692,24.000000,21.000000,30.000000
36.502723,24.000000,21.000000,30.000000
36.602699,24.000000,21.000000,30.000000
36.702697,23.000000,20.000000,30.000000
36.802706,24.000000,20.000000,30.000000
36.902731,24.000000,20.000000,30.000000
37.002676,24.000000,20.000000,30.000000
37.102678,25.000000,20.000000,30.000000
37.202731,25.000000,20.000000,30.000000
37.302699,24.000000,20.000000,30.000000
37.402668,24.000000,20.000000,30.000000
37.502705,24.000000,21.000000,30.000000
37.602658,25.000000,21.000000,31.000000
37.702661,27.000000,21.000000,31.000000
37.802679,28.000000,21.000000,31.000000
37.902664,28.000000,21.000000,31.000000
38.002666,29.000000,21.000000,31.000000
38.102685,28.000000,21.000000,31.000000
38.202683,28.000000,21.000000,31.000000
38.302668,29.000000,21.000000,31.000000
38.402678,29.000000,21.000000,31.000000
38.502689,29.000000,20.000000,31.000000
38.602694,29.000000,20.000000,30.000000
38.702697,29.000000,20.000000,30.000000
38.802698,28.000000,20.000000,30.000000
38.902694,28.000000,20.000000,30.000000
39.002730,28.000000,21.000000,30.000000
39.102719,28.000000,21.000000,30.000000
39.202689,27.000000,21.000000,30.000000
39.302683,25.000000,21.000000,30.000000
39.402679,23.000000,21.000000,30.000000
39.502688,23.000000,21.000000,30.000000
39.602693,23.000000,21.000000,30.000000
39.702696,23.000000,21.000000,30.000000
39.802689,24.000000,21.000000,30.000000
39.902706,24.000000,21.000000,30.000000
40.002705,24.000000,20.000000,30.000000
40.102706,25.000000,20.000000,30.000000
40.202670,26.000000,20.000000,30.000000
40.302700,28.000000,20.000000,30.000000
40.402686,30.000000,20.000000,30.000000
40.502658,29.000000,20.000000,30.000000
40.602668,28.000000,20.000000,30.000000
40.702693,28.000000,20.000000,30.000000
40.802704,28.000000,20.000000,30.000000
40.902660,28.000000,20.000000,31.000000
41.002660,28.000000,20.000000,31.000000
41.102699,28.000000,20.000000,31.000000
41.202768,28.000000,20.000000,31.000000
41.302699,28.000000,20.000000,31.000000
41.402668,28.000000,20.000000,31.000000
41.502665,29.000000,20.000000,31.000000
41.602679,30.000000,20.000000,31.000000
41.702664,29.000000,20.000000,31.000000
41.802696,29.000000,20.000000,31.000000
41.902667,29.000000,20.000000,30.000000
42.002689,29.000000,20.000000,30.000000
42.102703,29.000000,20.000000,30.000000
42.202673,28.000000,21.000000,28.000000
42.302670,27.000000,21.000000,25.000000
42.402695,27.000000,21.000000,22.000000
42.502732,25.000000,21.000000,19.000000
42.602693,25.000000,21.000000,16.000000
42.702698,26.000000,21.000000,13.000000
42.802704,24.000000,21.000000,10.000000
42.902721,22.000000,21.000000,7.000000
43.002691,22.000000,21.000000,4.000000
43.102691,22.000000,21.000000,1.000000
43.202689,22.000000,20.000000,0.000000
43.302722,23.000000,20.000000,0.000000
43.402704,23.000000,20.000000,0.000000
43.502695,25.000000,20.000000,0.000000
43.602689,25.000000,20.000000,0.000000
43.702677,25.000000,20.000000,0.000000
43.802738,27.000000,20.000000,0.000000
43.902686,28.000000,20.000000,0.000000
44.002692,27.000000,20.000000,0.000000
44.102720,26.000000,20.000000,0.000000
44.202772,25.000000,20.000000,0.000000
44.302721,23.000000,20.000000,0.000000
44.402698,22.000000,20.000000,0.000000
44.502715,19.000000,20.000000,0.000000
44.602664,19.000000,21.000000,0.000000
44.702669,18.000000,21.000000,0.000000
44.802688,18.000000,21.000000,0.000000
44.902681,18.000000,21.000000,0.000000
45.002689,19.000000,21.000000,0.000000
45.102687,20.000000,21.000000,0.000000
45.202691,22.000000,21.000000,0.000000
45.302758,23.000000,21.000000,0.000000
45.402692,24.000000,21.000000,0.000000
45.502683,27.000000,21.000000,0.000000
45.602713,26.000000,20.000000,0.000000
45.702689,27.000000,20.000000,0.000000
45.802680,27.000000,20.000000,0.000000
45.902704,28.000000,20.000000,0.000000
46.002706,28.000000,20.000000,0.000000
46.102700,27.000000,20.000000,0.000000
46.202706,27.000000,20.000000,0.000000
46.302711,28.000000,20.000000,0.000000
46.402757,28.000000,20.000000,0.000000
46.502702,27.000000,20.000000,0.000000
46.602722,26.000000,20.000000,0.000000
46.702724,26.000000,20.000000,0.000000
46.802690,23.000000,21.000000,0.000000
46.902683,21.000000,21.000000,0.000000
47.002650,21.000000,21.000000,0.000000
47.102656,22.000000,21.000000,0.000000
47.202692,22.000000,21.000000,0.000000
47.302701,22.000000,21.000000,0.000000
47.402659,21.000000,21.000000,0.000000
47.502698,22.000000,21.000000,0.000000
47.602756,24.000000,21.000000,0.000000
47.702755,23.000000,21.000000,0.000000
47.802787,26.000000,20.000000,0.000000
47.902705,28.000000,20.000000,0.000000
48.002703,28.000000,20.000000,0.000000
48.102691,28.000000,20.000000,0.000000
48.202744,27.000000,20.000000,0.000000
48.302678,25.000000,21.000000,0.000000
48.402701,26.000000,21.000000,0.000000
48.502745,26.000000,20.000000,0.000000
48.602706,24.000000,21.000000,0.000000
48.702697,23.000000,21.000000,0.000000
48.802689,23.000000,21.000000,0.000000
48.902691,22.000000,21.000000,0.000000
49.002691,22.000000,21.000000,0.000000
49.102800,22.000000,21.000000,0.000000
49.202698,23.000000,21.000000,0.000000
49.302714,25.000000,20.000000,0.000000
49.402695,25.000000,20.000000,0.000000
49.502700,25.000000,21.000000,0.000000
49.602690,27.000000,20.000000,0.000000
49.702694,29.000000,20.000000,0.000000
49.802692,28.000000,20.000000,0.000000
49.902695,29.000000,20.000000,0.000000
50.002703,29.000000,20.000000,0.000000
50.102734,29.000000,20.000000,0.000000
50.202693,29.000000,20.000000,0.000000
50.302717,29.000000,20.000000,0.000000
50.402697,29.000000,20.000000,0.000000
50.502705,28.000000,20.000000,0.000000
50.602752,28.000000,20.000000,0.000000
50.702675,27.000000,21.000000,0.000000
50.802670,28.000000,21.000000,0.000000
50.902701,26.000000,21.000000,0.000000
51.002680,26.000000,21.000000,0.000000
51.102693,25.000000,21.000000,0.000000
51.202690,24.000000,21.000000,0.000000
51.302704,24.000000,20.000000,0.000000
51.402721,24.000000,20.000000,0.000000
51.502690,25.000000,21.000000,0.000000
51.602675,25.000000,21.000000,0.000000
51.702683,26.000000,20.000000,0.000000
51.802685,24.000000,20.000000,0.000000
51.902701,26.000000,19.000000,0.000000
52.002705,26.000000,19.000000,0.000000
52.102680,27.000000,20.000000,0.000000
52.202678,27.000000,20.000000,0.000000
52.302690,27.000000,21.000000,0.000000
52.402712,27.000000,21.000000,0.000000
52.502703,27.000000,20.000000,0.000000
52.602687,27.000000,20.000000,0.000000
52.702794,27.000000,20.000000,0.000000
52.802724,27.000000,20.000000,0.000000
52.902685,27.000000,22.000000,0.000000
53.002689,25.000000,22.000000,0.000000
53.102731,24.000000,21.000000,0.000000
53.202705,25.000000,21.000000,0.000000
53.302696,24.000000,21.000000,0.000000
53.402728,23.000000,21.000000,0.000000
53.502673,23.000000,21.000000,0.000000
53.602718,23.000000,21.000000,0.000000
53.702693,23.000000,21.000000,0.000000
53.802698,25.000000,22.000000,0.000000
53.902748,25.000000,21.000000,0.000000
54.002692,27.000000,21.000000,0.000000
54.102698,26.000000,21.000000,0.000000
54.202773,26.000000,21.000000,0.000000
54.302699,27.000000,21.000000,0.000000
54.402694,27.000000,22.000000,0.000000
54.502682,27.000000,22.000000,0.000000
54.602689,26.000000,22.000000,0.000000
54.702688,26.000000,22.000000,0.000000
54.802690,26.000000,21.000000,0.000000
54.902701,26.000000,21.000000,0.000000
55.002692,26.000000,21.000000,0.000000
55.102687,28.000000,21.000000,0.000000
