t_sec,hz_image_raw,hz_cMo,hz_v_c
0.102463,0.000000,0.000000,0.000000
0.202447,1.000000,0.000000,0.000000
0.302442,2.000000,1.000000,0.000000
0.402447,3.000000,3.000000,0.000000
0.502443,5.000000,5.000000,0.000000
0.602440,5.000000,8.000000,0.000000
0.702454,7.000000,10.000000,0.000000
0.802461,10.000000,12.000000,0.000000
0.902440,12.000000,14.000000,0.000000
1.002439,14.000000,16.000000,0.000000
1.102444,17.000000,19.000000,0.000000
1.202444,17.000000,21.000000,0.000000
1.302438,17.000000,22.000000,0.000000
1.402479,17.000000,22.000000,0.000000
1.502424,15.000000,23.000000,0.000000
1.602454,15.000000,22.000000,0.000000
1.702469,14.000000,22.000000,0.000000
1.802444,14.000000,22.000000,0.000000
1.902439,15.000000,23.000000,0.000000
2.002435,16.000000,23.000000,0.000000
2.102461,16.000000,22.000000,0.000000
2.202501,18.000000,22.000000,0.000000
2.302434,19.000000,22.000000,0.000000
2.402443,21.000000,23.000000,0.000000
2.502447,23.000000,22.000000,0.000000
2.602449,25.000000,22.000000,0.000000
2.702477,25.000000,22.000000,0.000000
2.802490,25.000000,23.000000,0.000000
2.902454,24.000000,22.000000,0.000000
3.002430,23.000000,22.000000,0.000000
3.102447,21.000000,22.000000,0.000000
3.202431,21.000000,23.000000,0.000000
3.302453,22.000000,23.000000,0.000000
3.402710,20.000000,22.000000,0.000000
3.502447,19.000000,22.000000,0.000000
3.602435,19.000000,22.000000,0.000000
3.702454,21.000000,23.000000,0.000000
3.802434,20.000000,22.000000,0.000000
3.902490,20.000000,22.000000,0.000000
4.002435,21.000000,22.000000,0.000000
4.102438,23.000000,23.000000,0.000000
4.202445,22.000000,22.000000,0.000000
4.302469,22.000000,22.000000,0.000000
4.402470,22.000000,22.000000,0.000000
4.502437,24.000000,23.000000,0.000000
4.602452,25.000000,23.000000,0.000000
4.702459,24.000000,22.000000,0.000000
4.802470,24.000000,22.000000,0.000000
4.902442,25.000000,23.000000,0.000000
5.002446,25.000000,23.000000,0.000000
5.102466,25.000000,22.000000,0.000000
5.202468,26.000000,22.000000,0.000000
5.302467,25.000000,22.000000,0.000000
5.402426,27.000000,23.000000,3.000000
5.502445,26.000000,22.000000,6.000000
5.602455,25.000000,22.000000,9.000000
5.702457,24.000000,22.000000,12.000000
5.802426,25.000000,23.000000,16.000000
5.902412,25.000000,22.000000,19.000000
6.002415,25.000000,22.000000,22.000000
6.102415,25.000000,22.000000,25.000000
6.202417,24.000000,23.000000,28.000000
6.302437,24.000000,23.000000,31.000000
6.402420,24.000000,22.000000,31.000000
6.502417,24.000000,22.000000,31.000000
6.602428,25.000000,23.000000,31.000000
6.702440,27.000000,23.000000,31.000000
6.802440,27.000000,22.000000,30.000000
6.902459,27.000000,22.000000,30.000000
7.002432,27.000000,22.000000,30.000000
7.102436,27.000000,23.000000,30.000000
7.202437,28.000000,22.000000,30.000000
7.302437,29.000000,22.000000,30.000000
7.402448,29.000000,22.000000,30.000000
7.502499,30.000000,22.000000,30.000000
7.602444,30.000000,22.000000,30.000000
7.702435,30.000000,22.000000,30.000000
7.802447,30.000000,22.000000,30.000000
7.902457,30.000000,22.000000,30.000000
8.002458,30.000000,23.000000,30.000000
8.102438,30.000000,22.000000,30.000000
8.202454,29.000000,22.000000,30.000000
8.302459,29.000000,22.000000,30.000000
8.402442,29.000000,23.000000,30.000000
8.502456,28.000000,23.000000,30.000000
8.602470,28.000000,22.000000,30.000000
8.702463,28.000000,22.000000,30.000000
8.802444,26.000000,23.000000,30.000000
8.902449,26.000000,23.000000,30.000000
9.002470,26.000000,22.000000,30.000000
9.102423,26.000000,22.000000,31.000000
9.202438,26.000000,23.000000,31.000000
9.302440,26.000000,23.000000,31.000000
9.402417,26.000000,22.000000,31.000000
9.502420,26.000000,22.000000,31.000000
9.602428,26.000000,23.000000,31.000000
9.702438,25.000000,23.000000,31.000000
9.802437,26.000000,22.000000,31.000000
9.902420,25.000000,22.000000,31.000000
10.002421,25.000000,23.000000,31.000000
10.102438,25.000000,23.000000,30.000000
10.202437,26.000000,22.000000,30.000000
10.302418,26.000000,23.000000,30.000000
10.402425,26.000000,23.000000,30.000000
10.502447,26.000000,23.000000,30.000000
10.602451,26.000000,22.000000,30.000000
10.702462,27.000000,22.000000,30.000000
10.802441,28.000000,23.000000,30.000000
10.902517,29.000000,23.000000,30.000000
11.002479,29.000000,22.000000,30.000000
11.102451,29.000000,23.000000,30.000000
11.202453,29.000000,23.000000,30.000000
11.302445,28.000000,22.000000,30.000000
11.402442,28.000000,22.000000,30.000000
11.502444,29.000000,23.000000,30.000000
11.602460,28.000000,23.000000,30.000000
11.702435,28.000000,23.000000,30.000000
11.802431,28.000000,23.000000,30.000000
11.902459,27.000000,23.000000,30.000000
12.002475,27.000000,23.000000,30.000000
12.102431,26.000000,23.000000,30.000000
12.202451,26.000000,23.000000,30.000000
12.302429,27.000000,23.000000,30.000000
12.402416,27.000000,24.000000,31.000000
12.502426,27.000000,23.000000,31.000000
12.602431,27.000000,23.000000,31.000000
12.702418,26.000000,24.000000,31.000000
12.802435,26.000000,23.000000,31.000000
12.902442,26.000000,23.000000,31.000000
13.002427,26.000000,24.000000,31.000000
13.102418,27.000000,23.000000,31.000000
13.202425,27.000000,23.000000,31.000000
13.302429,26.000000,23.000000,31.000000
13.402433,26.000000,23.000000,30.000000
13.502434,26.000000,23.000000,30.000000
13.602440,26.000000,23.000000,30.000000
13.702421,26.000000,22.000000,30.000000
13.802428,26.000000,23.000000,30.000000
13.902448,26.000000,23.000000,30.000000
14.002440,25.000000,22.000000,30.000000
14.102440,25.000000,22.000000,30.000000
14.202433,25.000000,23.000000,30.000000
14.302477,25.000000,23.000000,30.000000
14.402452,24.000000,22.000000,30.000000
14.502448,24.000000,22.000000,30.000000
14.602447,25.000000,23.000000,30.000000
14.702439,26.000000,23.000000,30.000000
14.802479,26.000000,22.000000,30.000000
14.902430,27.000000,23.000000,30.000000
15.002435,27.000000,23.000000,30.000000
15.102445,26.000000,23.000000,30.000000
15.202475,25.000000,22.000000,30.000000
15.302456,25.000000,23.000000,30.000000
15.402430,26.000000,23.000000,30.000000
15.502452,25.000000,23.000000,30.000000
15.602425,25.000000,23.000000,30.000000
15.702415,25.000000,23.000000,31.000000
15.802421,24.000000,24.000000,31.000000
15.902415,23.000000,23.000000,31.000000
16.002434,23.000000,23.000000,31.000000
16.102417,23.000000,24.000000,31.000000
16.202427,24.000000,24.000000,31.000000
16.302426,25.000000,23.000000,31.000000
16.402436,25.000000,23.000000,31.000000
16.502416,26.000000,24.000000,31.000000
16.602423,26.000000,23.000000,31.000000
16.702427,26.000000,24.000000,30.000000
16.802423,27.000000,23.000000,30.000000
16.902468,27.000000,23.000000,30.000000
17.002448,28.000000,23.000000,30.000000
17.102433,29.000000,23.000000,30.000000
17.202432,29.000000,23.000000,30.000000
17.302446,29.000000,23.000000,30.000000
17.402431,29.000000,24.000000,30.000000
17.502430,28.000000,23.000000,30.000000
17.602444,28.000000,24.000000,30.000000
17.702512,28.000000,23.000000,30.000000
17.802472,27.000000,24.000000,30.000000
17.902475,28.000000,24.000000,30.000000
18.002438,25.000000,25.000000,30.000000
18.102447,23.000000,24.000000,30.000000
18.202507,21.000000,25.000000,30.000000
18.302441,19.000000,25.000000,30.000000
18.402435,19.000000,25.000000,30.000000
18.502441,19.000000,25.000000,30.000000
18.606587,17.000000,25.000000,30.000000
18.702446,17.000000,25.000000,30.000000
18.802643,18.000000,25.000000,30.000000
18.902453,18.000000,25.000000,30.000000
19.002432,21.000000,24.000000,31.000000
19.102416,22.000000,25.000000,31.000000
19.202419,21.000000,24.000000,31.000000
19.302435,23.000000,24.000000,31.000000
19.402426,23.000000,23.000000,31.000000
19.502434,23.000000,24.000000,31.000000
19.602459,25.000000,23.000000,31.000000
19.702438,25.000000,23.000000,31.000000
19.802463,24.000000,22.000000,31.000000
19.902444,24.000000,22.000000,31.000000
20.002432,24.000000,23.000000,30.000000
20.102446,24.000000,22.000000,30.000000
20.202459,27.000000,22.000000,30.000000
20.302440,26.000000,22.000000,30.000000
20.402458,26.000000,23.000000,30.000000
20.502427,27.000000,22.000000,30.000000
20.602426,26.000000,22.000000,30.000000
20.702428,26.000000,23.000000,30.000000
20.802427,27.000000,23.000000,30.000000
20.902443,24.000000,24.000000,30.000000
21.002425,22.000000,24.000000,30.000000
21.102444,20.000000,24.000000,30.000000
21.202430,19.000000,24.000000,30.000000
21.302451,19.000000,25.000000,30.000000
21.402457,17.000000,24.000000,30.000000
21.502430,16.000000,25.000000,30.000000
21.602460,14.000000,25.000000,30.000000
21.702466,12.000000,24.000000,30.000000
21.802449,9.000000,24.000000,30.000000
21.902435,11.000000,24.000000,30.000000
22.002457,13.000000,23.000000,30.000000
22.102432,14.000000,23.000000,30.000000
22.202427,14.000000,24.000000,30.000000
22.302419,15.000000,23.000000,31.000000
22.402419,16.000000,23.000000,31.000000
22.502417,16.000000,22.000000,31.000000
22.602421,19.000000,22.000000,31.000000
22.702437,21.000000,22.000000,31.000000
22.802421,24.000000,23.000000,31.000000
22.902465,24.000000,22.000000,31.000000
23.002431,23.000000,22.000000,31.000000
23.102430,25.000000,22.000000,31.000000
23.202419,26.000000,22.000000,31.000000
23.302427,26.000000,22.000000,30.000000
23.402429,27.000000,22.000000,30.000000
23.502444,27.000000,22.000000,30.000000
23.602455,25.000000,22.000000,30.000000
23.702445,25.000000,23.000000,30.000000
23.802442,25.000000,22.000000,30.000000
23.902449,26.000000,22.000000,30.000000
24.002432,26.000000,22.000000,30.000000
24.102428,26.000000,22.000000,30.000000
24.202452,26.000000,21.000000,30.000000
24.302429,26.000000,21.000000,30.000000
24.402427,24.000000,21.000000,30.000000
24.502438,22.000000,22.000000,30.000000
24.602434,22.000000,22.000000,30.000000
24.702452,22.000000,21.000000,30.000000
24.802431,21.000000,21.000000,30.000000
24.902440,21.000000,21.000000,30.000000
25.002455,21.000000,21.000000,30.000000
25.102430,21.000000,21.000000,30.000000
25.202460,20.000000,21.000000,30.000000
25.302430,19.000000,21.000000,30.000000
25.402445,18.000000,21.000000,30.000000
25.502443,18.000000,20.000000,30.000000
25.602415,20.000000,20.000000,31.000000
25.702423,20.000000,20.000000,31.000000
25.802421,19.000000,20.000000,31.000000
