t_sec,hz_image_raw,hz_cMo,hz_v_c
0.102512,0.000000,0.000000,0.000000
0.202497,0.000000,0.000000,0.000000
0.302497,0.000000,0.000000,0.000000
0.402511,0.000000,0.000000,0.000000
0.502509,0.000000,0.000000,0.000000
0.602496,0.000000,0.000000,0.000000
0.702498,0.000000,0.000000,0.000000
0.802494,0.000000,0.000000,0.000000
0.902498,0.000000,0.000000,0.000000
1.002483,1.000000,0.000000,0.000000
1.102500,4.000000,0.000000,0.000000
1.202497,7.000000,0.000000,0.000000
1.302480,10.000000,0.000000,0.000000
1.402534,13.000000,0.000000,0.000000
1.502497,15.000000,0.000000,0.000000
1.602596,18.000000,0.000000,0.000000
1.702500,20.000000,0.000000,0.000000
1.802486,22.000000,0.000000,2.000000
1.902772,25.000000,0.000000,5.000000
2.002479,27.000000,0.000000,8.000000
2.102518,27.000000,0.000000,11.000000
2.202509,26.000000,0.000000,14.000000
2.302508,26.000000,0.000000,17.000000
2.402504,25.000000,0.000000,20.000000
2.502494,25.000000,0.000000,23.000000
2.602502,25.000000,0.000000,26.000000
2.702503,25.000000,0.000000,29.000000
2.802508,26.000000,0.000000,30.000000
2.902489,26.000000,0.000000,30.000000
3.002500,25.000000,0.000000,30.000000
3.102491,24.000000,2.000000,30.000000
3.202487,25.000000,5.000000,30.000000
3.302493,25.000000,7.000000,30.000000
3.402490,25.000000,10.000000,30.000000
3.502499,26.000000,12.000000,30.000000
3.602514,26.000000,14.000000,30.000000
3.702513,27.000000,17.000000,30.000000
3.802502,26.000000,19.000000,30.000000
3.902492,24.000000,21.000000,30.000000
4.002500,24.000000,24.000000,30.000000
4.102522,24.000000,24.000000,30.000000
4.202466,21.000000,23.000000,31.000000
4.302476,18.000000,24.000000,31.000000
4.402478,19.000000,23.000000,31.000000
4.502472,18.000000,24.000000,31.000000
4.602490,18.000000,24.000000,31.000000
4.702469,17.000000,23.000000,31.000000
4.802500,17.000000,23.000000,31.000000
4.902495,18.000000,23.000000,31.000000
5.002476,19.000000,23.000000,31.000000
5.102487,19.000000,23.000000,31.000000
5.202478,22.000000,24.000000,30.000000
5.302477,25.000000,23.000000,30.000000
5.402478,24.000000,24.000000,30.000000
5.502493,25.000000,23.000000,30.000000
5.602481,25.000000,24.000000,30.000000
5.702480,26.000000,24.000000,30.000000
5.802475,27.000000,25.000000,30.000000
5.902484,28.000000,25.000000,30.000000
6.002507,27.000000,24.000000,30.000000
6.146906,25.000000,23.000000,27.000000
6.284980,22.000000,20.000000,24.000000
6.427328,20.000000,18.000000,20.000000
6.592073,16.000000,15.000000,16.000000
6.679815,13.000000,13.000000,15.000000
6.723015,13.000000,13.000000,14.000000
6.943118,9.000000,10.000000,10.000000
7.035758,9.000000,10.000000,10.000000
7.146592,10.000000,11.000000,11.000000
7.208654,10.000000,11.000000,11.000000
7.333946,11.000000,12.000000,12.000000
7.412599,13.000000,14.000000,14.000000
7.502464,15.000000,15.000000,17.000000
7.602464,18.000000,16.000000,19.000000
7.702465,19.000000,17.000000,21.000000
7.802472,20.000000,18.000000,22.000000
7.902484,23.000000,20.000000,25.000000
8.002486,22.000000,20.000000,26.000000
8.102491,22.000000,20.000000,27.000000
8.202476,24.000000,22.000000,29.000000
8.302478,25.000000,22.000000,30.000000
8.402501,23.000000,22.000000,31.000000
8.502496,23.000000,23.000000,30.000000
8.602490,23.000000,23.000000,30.000000
8.702480,24.000000,23.000000,30.000000
8.802504,24.000000,23.000000,30.000000
8.902486,24.000000,23.000000,30.000000
9.002617,26.000000,24.000000,30.000000
9.102493,27.000000,24.000000,30.000000
9.202475,27.000000,23.000000,30.000000
9.302505,26.000000,23.000000,30.000000
9.402474,29.000000,24.000000,30.000000
9.502504,28.000000,23.000000,30.000000
9.602501,27.000000,23.000000,30.000000
9.702482,27.000000,23.000000,30.000000
9.803070,25.000000,23.000000,30.000000
9.902497,23.000000,23.000000,30.000000
10.002509,21.000000,22.000000,30.000000
10.102479,20.000000,22.000000,30.000000
10.202485,19.000000,23.000000,30.000000
10.302498,19.000000,23.000000,30.000000
10.402517,19.000000,22.000000,30.000000
10.502527,20.000000,22.000000,30.000000
10.602496,21.000000,22.000000,30.000000
10.702476,21.000000,23.000000,30.000000
10.802465,23.000000,22.000000,31.000000
10.902464,23.000000,22.000000,31.000000
11.002466,25.000000,22.000000,31.000000
11.102479,26.000000,22.000000,31.000000
11.202472,26.000000,21.000000,31.000000
11.302504,26.000000,22.000000,31.000000
11.402493,26.000000,22.000000,31.000000
11.502501,26.000000,22.000000,31.000000
11.602495,26.000000,22.000000,31.000000
11.702547,25.000000,21.000000,31.000000
11.802475,25.000000,21.000000,30.000000
11.902508,27.000000,21.000000,30.000000
12.002504,27.000000,21.000000,30.000000
12.102476,27.000000,21.000000,30.000000
12.202497,28.000000,21.000000,30.000000
12.302480,29.000000,20.000000,30.000000
12.402472,29.000000,20.000000,30.000000
12.502479,29.000000,20.000000,30.000000
12.602492,28.000000,20.000000,30.000000
12.702476,28.000000,20.000000,30.000000
12.802473,28.000000,20.000000,30.000000
12.902484,28.000000,20.000000,30.000000
13.002487,28.000000,20.000000,30.000000
13.102482,28.000000,20.000000,30.000000
13.202495,28.000000,20.000000,30.000000
13.302474,28.000000,20.000000,30.000000
13.402519,28.000000,20.000000,30.000000
13.502500,28.000000,20.000000,30.000000
13.602489,29.000000,20.000000,30.000000
13.702476,30.000000,20.000000,30.000000
13.802504,30.000000,20.000000,30.000000
13.902506,30.000000,20.000000,30.000000
14.002489,29.000000,19.000000,30.000000
14.102474,29.000000,19.000000,31.000000
14.202465,28.000000,19.000000,31.000000
14.302467,25.000000,19.000000,31.000000
14.402482,24.000000,19.000000,31.000000
14.502474,24.000000,19.000000,31.000000
14.603079,24.000000,18.000000,31.000000
14.703348,24.000000,18.000000,31.000000
14.802480,23.000000,18.000000,31.000000
14.902952,23.000000,18.000000,31.000000
15.002481,24.000000,18.000000,31.000000
15.102506,22.000000,18.000000,30.000000
15.203201,23.000000,18.000000,30.000000
15.303487,25.000000,18.000000,30.000000
15.402855,26.000000,18.000000,30.000000
15.503467,26.000000,18.000000,30.000000
15.602712,26.000000,18.000000,30.000000
15.702476,26.000000,18.000000,30.000000
15.802479,26.000000,18.000000,30.000000
15.902479,27.000000,18.000000,30.000000
16.003234,26.000000,19.000000,30.000000
16.103526,27.000000,19.000000,30.000000
16.203211,27.000000,19.000000,30.000000
16.302917,28.000000,19.000000,30.000000
16.402592,28.000000,18.000000,30.000000
16.503441,27.000000,18.000000,30.000000
16.602474,28.000000,19.000000,30.000000
16.703080,27.000000,19.000000,30.000000
16.802876,27.000000,19.000000,30.000000
16.904164,27.000000,18.000000,30.000000
17.003439,26.000000,18.000000,30.000000
17.104633,26.000000,18.000000,30.000000
17.202884,27.000000,18.000000,30.000000
17.303486,27.000000,18.000000,30.000000
17.404310,27.000000,18.000000,30.000000
17.502532,27.000000,18.000000,31.000000
17.602518,25.000000,18.000000,31.000000
17.702462,25.000000,18.000000,31.000000
17.802519,23.000000,18.000000,31.000000
17.904047,23.000000,19.000000,31.000000
18.004449,23.000000,18.000000,31.000000
18.102523,23.000000,18.000000,31.000000
18.204842,23.000000,18.000000,30.000000
18.304171,23.000000,18.000000,30.000000
18.404252,24.000000,19.000000,31.000000
18.503982,24.000000,19.000000,30.000000
18.604079,25.000000,19.000000,30.000000
18.705087,26.000000,19.000000,30.000000
18.802539,27.000000,18.000000,30.000000
18.902525,27.000000,18.000000,30.000000
19.002519,26.000000,19.000000,30.000000
19.102513,27.000000,19.000000,30.000000
19.202505,27.000000,19.000000,30.000000
19.302510,27.000000,19.000000,30.000000
19.402497,25.000000,19.000000,30.000000
19.502600,25.000000,19.000000,30.000000
19.603489,26.000000,19.000000,30.000000
19.702516,24.000000,19.000000,30.000000
19.802498,23.000000,19.000000,30.000000
19.902537,23.000000,19.000000,30.000000
20.002524,24.000000,19.000000,30.000000
20.102525,22.000000,19.000000,30.000000
20.202514,22.000000,19.000000,30.000000
20.302510,21.000000,19.000000,30.000000
20.484765,20.000000,18.000000,27.000000
20.505762,21.000000,18.000000,28.000000
20.602559,19.000000,18.000000,28.000000
20.702547,21.000000,19.000000,29.000000
20.802480,22.000000,19.000000,29.000000
20.902513,23.000000,19.000000,29.000000
21.002486,23.000000,19.000000,29.000000
21.102478,25.000000,19.000000,29.000000
21.202519,25.000000,19.000000,29.000000
21.302516,26.000000,18.000000,29.000000
21.402502,26.000000,18.000000,29.000000
21.502516,28.000000,19.000000,31.000000
21.602538,29.000000,19.000000,31.000000
21.702511,27.000000,19.000000,30.000000
21.802489,26.000000,19.000000,30.000000
21.902503,26.000000,19.000000,30.000000
22.002491,26.000000,19.000000,30.000000
22.102498,25.000000,18.000000,30.000000
22.202493,25.000000,18.000000,30.000000
22.302496,24.000000,19.000000,30.000000
22.402522,22.000000,19.000000,30.000000
22.502532,22.000000,19.000000,30.000000
22.602495,23.000000,19.000000,30.000000
22.702475,24.000000,19.000000,30.000000
22.802528,23.000000,19.000000,30.000000
22.902611,21.000000,18.000000,30.000000
23.002523,21.000000,18.000000,30.000000
23.102551,21.000000,19.000000,30.000000
23.202504,20.000000,19.000000,30.000000
23.302540,21.000000,19.000000,30.000000
23.402518,22.000000,19.000000,30.000000
23.502525,22.000000,18.000000,30.000000
23.602518,22.000000,18.000000,30.000000
23.702852,22.000000,18.000000,30.000000
23.802513,24.000000,18.000000,30.000000
23.902514,25.000000,19.000000,30.000000
24.002472,24.000000,19.000000,31.000000
24.102489,24.000000,19.000000,31.000000
24.202466,24.000000,19.000000,31.000000
24.302482,24.000000,19.000000,31.000000
24.402501,25.000000,18.000000,31.000000
24.502506,24.000000,19.000000,31.000000
24.602488,24.000000,19.000000,31.000000
24.702534,25.000000,19.000000,31.000000
24.802480,24.000000,19.000000,31.000000
24.902496,25.000000,19.000000,31.000000
25.002493,26.000000,19.000000,30.000000
25.102499,26.000000,19.000000,30.000000
25.202491,26.000000,19.000000,30.000000
25.302472,25.000000,18.000000,30.000000
25.402503,24.000000,19.000000,30.000000
25.502515,24.000000,19.000000,30.000000
25.602518,23.000000,19.000000,30.000000
25.702479,23.000000,19.000000,30.000000
25.802477,23.000000,19.000000,30.000000
25.902502,23.000000,19.000000,30.000000
26.002530,21.000000,19.000000,30.000000
26.102520,19.000000,19.000000,30.000000
26.202502,19.000000,19.000000,30.000000
